Types,Looptime,number,numberOfappearance,invokeperloop,percentage,
random,72,6,925,10000,9.25,
random,72,7,0,10000,0.0,
random,72,8,0,10000,0.0,
random,72,9,0,10000,0.0,
random,73,0,0,10000,0.0,
random,73,1,5030,10000,50.3,
random,73,2,1032,10000,10.32,
random,73,3,994,10000,9.94,
random,73,4,982,10000,9.82,
random,73,5,971,10000,9.71,
random,73,6,991,10000,9.91,
random,73,7,0,10000,0.0,
random,73,8,0,10000,0.0,
random,73,9,0,10000,0.0,
random,74,0,0,10000,0.0,
random,74,1,4921,10000,49.21,
random,74,2,1019,10000,10.190000000000001,
random,74,3,971,10000,9.71,
random,74,4,1036,10000,10.36,
random,74,5,1053,10000,10.530000000000001,
random,74,6,1000,10000,10.0,
random,74,7,0,10000,0.0,
random,74,8,0,10000,0.0,
random,74,9,0,10000,0.0,
random,75,0,0,10000,0.0,
random,75,1,5003,10000,50.029999999999994,
random,75,2,1016,10000,10.16,
random,75,3,982,10000,9.82,
random,75,4,1001,10000,10.01,
random,75,5,997,10000,9.969999999999999,
random,75,6,1001,10000,10.01,
random,75,7,0,10000,0.0,
random,75,8,0,10000,0.0,
random,75,9,0,10000,0.0,
random,76,0,0,10000,0.0,
random,76,1,4981,10000,49.81,
random,76,2,1038,10000,10.38,
random,76,3,1026,10000,10.26,
random,76,4,1037,10000,10.37,
random,76,5,968,10000,9.68,
random,76,6,950,10000,9.5,
random,76,7,0,10000,0.0,
random,76,8,0,10000,0.0,
random,76,9,0,10000,0.0,
random,77,0,0,10000,0.0,
random,77,1,5054,10000,50.54,
random,77,2,955,10000,9.55,
random,77,3,1058,10000,10.58,
random,77,4,985,10000,9.85,
random,77,5,968,10000,9.68,
random,77,6,980,10000,9.8,
random,77,7,0,10000,0.0,
random,77,8,0,10000,0.0,
random,77,9,0,10000,0.0,
random,78,0,0,10000,0.0,
random,78,1,4954,10000,49.54,
random,78,2,1028,10000,10.280000000000001,
random,78,3,1009,10000,10.09,
random,78,4,977,10000,9.77,
random,78,5,1021,10000,10.209999999999999,
random,78,6,1011,10000,10.11,
random,78,7,0,10000,0.0,
random,78,8,0,10000,0.0,
random,78,9,0,10000,0.0,
random,79,0,0,10000,0.0,
random,79,1,5134,10000,51.339999999999996,
random,79,2,945,10000,9.45,
random,79,3,978,10000,9.78,
random,79,4,984,10000,9.84,
random,79,5,974,10000,9.74,
random,79,6,985,10000,9.85,
random,79,7,0,10000,0.0,
random,79,8,0,10000,0.0,
random,79,9,0,10000,0.0,
random,80,0,0,10000,0.0,
random,80,1,4970,10000,49.7,
random,80,2,1003,10000,10.03,
random,80,3,1007,10000,10.07,
random,80,4,1033,10000,10.33,
random,80,5,986,10000,9.86,
random,80,6,1001,10000,10.01,
random,80,7,0,10000,0.0,
random,80,8,0,10000,0.0,
random,80,9,0,10000,0.0,
random,81,0,0,10000,0.0,
random,81,1,4911,10000,49.11,
random,81,2,1016,10000,10.16,
random,81,3,1030,10000,10.299999999999999,
random,81,4,1043,10000,10.43,
random,81,5,1017,10000,10.17,
random,81,6,983,10000,9.83,
random,81,7,0,10000,0.0,
random,81,8,0,10000,0.0,
random,81,9,0,10000,0.0,
random,82,0,0,10000,0.0,
random,82,1,4955,10000,49.55,
random,82,2,1014,10000,10.14,
random,82,3,1055,10000,10.549999999999999,
random,82,4,991,10000,9.91,
random,82,5,996,10000,9.959999999999999,
